Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-26764.298999,nan,nan,-0.203,0.117,1.032,nan,nan
-26764.318434,nan,nan,-0.203,0.121,1.036,nan,nan
-26764.337868,nan,nan,-0.203,0.121,1.032,nan,nan
-26764.357303,nan,nan,-0.199,0.121,1.04,nan,nan
-26764.376737,nan,nan,-0.199,0.121,1.036,nan,nan
-26764.396172,nan,nan,-0.199,0.121,1.032,nan,nan
-26764.415606,nan,nan,-0.199,0.121,1.032,nan,nan
-26764.435041,nan,nan,-0.199,0.125,1.032,nan,nan
-26764.454476,nan,nan,-0.199,0.121,1.032,nan,nan
-26764.47391,nan,nan,-0.203,0.117,1.04,nan,nan
-26764.493345,nan,nan,-0.203,0.121,1.032,nan,nan
