Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55740.579644,nan,nan,0.949,-0.051,0.135,nan,nan
-55740.620188,nan,nan,0.942,-0.051,0.143,nan,nan
-55740.660733,nan,nan,0.946,-0.046,0.135,nan,nan
-55740.701278,nan,nan,0.946,-0.042,0.131,nan,nan
-55740.741823,nan,nan,0.946,-0.051,0.127,nan,nan
-55740.782368,nan,nan,0.942,-0.046,0.131,nan,nan
-55740.822913,nan,nan,0.938,-0.051,0.127,nan,nan
-55740.863458,nan,nan,0.942,-0.046,0.135,nan,nan
-55740.904003,nan,nan,0.942,-0.051,0.135,nan,nan
-55740.944548,nan,nan,0.949,-0.046,0.131,nan,nan
-55740.985093,nan,nan,0.946,-0.051,0.135,nan,nan
-55741.025638,nan,nan,0.949,-0.042,0.131,nan,nan
-55741.066183,nan,nan,0.942,-0.051,0.135,nan,nan
-55741.106728,nan,nan,0.946,-0.046,0.127,nan,nan
-55741.147272,nan,nan,0.942,-0.051,0.135,nan,nan
-55741.187817,nan,nan,0.942,-0.051,0.131,nan,nan
-55741.228362,nan,nan,0.942,-0.046,0.127,nan,nan
-55741.268907,nan,nan,0.942,-0.051,0.131,nan,nan
-55741.309452,nan,nan,0.942,-0.051,0.135,nan,nan
-55741.349997,nan,nan,0.942,-0.046,0.127,nan,nan
-55741.390542,nan,nan,0.946,-0.051,0.139,nan,nan
-55741.431087,nan,nan,0.946,-0.051,0.127,nan,nan
-55741.471632,nan,nan,0.942,-0.051,0.139,nan,nan
-55741.512177,nan,nan,0.946,-0.046,0.143,nan,nan
-55741.552722,nan,nan,0.942,-0.051,0.135,nan,nan
-55741.593267,nan,nan,0.938,-0.046,0.131,nan,nan
-55741.633812,nan,nan,0.946,-0.046,0.127,nan,nan
-55741.674356,nan,nan,0.942,-0.046,0.135,nan,nan
-55741.714901,nan,nan,0.938,-0.051,0.135,nan,nan
-55741.755446,nan,nan,0.946,-0.046,0.139,nan,nan
-55741.795991,nan,nan,0.946,-0.042,0.135,nan,nan
-55741.836536,nan,nan,0.942,-0.046,0.135,nan,nan
-55741.877081,nan,nan,0.942,-0.046,0.131,nan,nan
-55741.917626,nan,nan,0.946,-0.046,0.139,nan,nan
-55741.958171,nan,nan,0.961,-0.046,0.147,nan,nan
-55741.998716,nan,nan,0.942,-0.046,0.127,nan,nan
-55742.039261,nan,nan,0.926,-0.051,0.123,nan,nan
-55742.079806,nan,nan,0.938,-0.046,0.131,nan,nan
-55742.120351,nan,nan,0.946,-0.051,0.139,nan,nan
-55742.160896,nan,nan,0.949,-0.046,0.135,nan,nan
-55742.20144,nan,nan,0.946,-0.051,0.131,nan,nan
-55742.241985,nan,nan,0.938,-0.046,0.135,nan,nan
-55742.28253,nan,nan,0.942,-0.042,0.131,nan,nan
-55742.323075,nan,nan,0.938,-0.046,0.135,nan,nan
-55742.36362,nan,nan,0.942,-0.051,0.131,nan,nan
-55742.404165,nan,nan,0.946,-0.046,0.135,nan,nan
-55742.44471,nan,nan,0.946,-0.046,0.135,nan,nan
-55742.485255,nan,nan,0.942,-0.046,0.135,nan,nan
-55742.5258,nan,nan,0.942,-0.051,0.135,nan,nan
-55742.566345,nan,nan,0.946,-0.046,0.127,nan,nan
-55742.60689,nan,nan,0.942,-0.046,0.127,nan,nan
-55742.647435,nan,nan,0.938,-0.051,0.135,nan,nan
-55742.687979,nan,nan,0.946,-0.046,0.131,nan,nan
-55742.728524,nan,nan,0.946,-0.051,0.135,nan,nan
-55742.769069,nan,nan,0.938,-0.051,0.139,nan,nan
-55742.809614,nan,nan,0.942,-0.051,0.135,nan,nan
-55742.850159,nan,nan,0.946,-0.046,0.131,nan,nan
-55742.890704,nan,nan,0.942,-0.051,0.131,nan,nan
-55742.931249,nan,nan,0.942,-0.046,0.127,nan,nan
-55742.971794,nan,nan,0.942,-0.046,0.131,nan,nan
-55743.012339,nan,nan,0.942,-0.046,0.127,nan,nan
-55743.052884,nan,nan,0.953,-0.042,0.131,nan,nan
-55743.093429,nan,nan,0.938,-0.042,0.123,nan,nan
-55743.133974,nan,nan,0.938,-0.046,0.127,nan,nan
-55743.174519,nan,nan,0.942,-0.046,0.135,nan,nan
-55743.215063,nan,nan,0.942,-0.051,0.135,nan,nan
-55743.255608,nan,nan,0.938,-0.046,0.139,nan,nan
-55743.296153,nan,nan,0.942,-0.046,0.135,nan,nan
-55743.336698,nan,nan,0.942,-0.051,0.139,nan,nan
-55743.377243,nan,nan,0.938,-0.051,0.127,nan,nan
-55743.417788,nan,nan,0.961,-0.042,0.131,nan,nan
-55743.458333,nan,nan,0.934,-0.051,0.131,nan,nan
-55743.498878,nan,nan,0.946,-0.051,0.131,nan,nan
-55743.539423,nan,nan,0.942,-0.051,0.139,nan,nan
